English,Bulgarian
a,а
about,относно
all,всичко
also,също
and,и
as,като
at,при
be,бъда
because,защото
but,но
can,мога
come,идвам
could,бих могъл
do,направи
even,дори
find,намирам
first,първи
for,за
from,от
get,получи
give,дайте
go,отивам
have,имат
her,нея
here,тук
him,него
his,неговият
how,как
I,аз
if,ако
in,в
into,в
it,то
its,неговото
just,просто
know,зная
like,като
look,виж
make,направи
man,човек
many,много
me,аз
more,Повече ▼
my,моя
new,нов
no,не
not,не
of,на
on,На
one,един
only,само
or,или
other,друго
our,нашият
out,навън
people,хората
say,казвам
see,виж
she,тя
so,така
some,някои
take,предприеме
tell,казвам
than,отколкото
that,че
the,на
their,техен
them,тях
then,тогава
there,там
these,тези
they,те
think,мисля
this,това
those,тези
time,време
to,да се
two,две
up,нагоре
use,използване
very,много
want,искам
way,начин
we,ние
well,добре
what,Какво
when,кога
which,който
who,СЗО
will,ще
with,с
would,би се
year,година
you,Вие
your,Вашият
